name;surname;gender;date_of_birth;place_of_birth;phone_number;size;weight;blood_type;social_number
Lucas;Paris;M;1943-09-01 22:34:34;Grenoble;06 26 30 10 01;167;76;A-;143093818569842
Yohan;Boyer;M;1941-07-27 20:53:35;Cayenne;06 05 36 76 95;190;59;A+;141079730223294
Marine;Richard;F;1979-12-24 11:29:09;Saint-Denis;06 02 68 36 47;144;66;AB-;279129741151013
Élise;Poulain;F;1973-04-05 06:24:01;Cherbourg-en-Cotentin;06 46 38 48 57;201;97;A-;273045012989357
Rose;Le roux;F;1984-04-08 17:47:43;Ajaccio;06 62 69 92 72;168;76;A+;284042A00475795
Mathieu;Rey;M;1996-09-04 23:05:45;Montpellier;06 71 69 59 75;198;52;O+;196093417296339
Adrian;Lefebvre;M;1996-08-24 19:02:42;Caen;06 46 34 80 06;152;67;A+;196081411816192
Jade;David;F;1926-02-05 18:47:43;Levallois-Perret;06 68 33 48 27;154;57;AB-;226029204412612
Florentin;Perrot;M;1954-04-29 21:28:29;Cannes;06 75 68 25 28;182;81;B+;154046002963262
Florian;Muller;M;1975-06-11 05:50:42;Évry-Courcouronnes;06 04 99 99 95;199;42;A+;175069122874074
Lola;Pasquier;F;1993-03-30 19:17:37;Marseille;06 44 35 39 52;144;85;A-;293031305544560
Clémence;Humbert;F;1954-10-28 18:26:18;Clermont-Ferrand;06 66 14 77 68;167;48;O+;254106311391748
Lilou;Leclercq;F;1943-11-22 18:01:33;Paris;06 74 11 95 62;168;66;O-;243117505654885
Candice;Lemaire;F;1944-10-02 15:21:06;Le Blanc-Mesnil;06 47 98 57 25;154;41;AB+;244109300732154
Léonie;Perrot;F;1959-03-27 22:46:34;Mulhouse;06 36 29 11 67;166;45;A-;259036822459713
Anaëlle;Mallet;F;1990-11-10 22:25:33;Levallois-Perret;06 60 13 29 29;175;66;B+;290119204414253
Julie;Faure;F;1997-05-27 08:34:19;Mulhouse;06 68 78 66 81;174;96;O-;297056822410346
Louna;Daniel;F;1931-08-05 03:24:15;Ivry-sur-Seine;06 84 89 53 64;144;98;A+;231089404140935
Anaïs;Klein;F;1925-06-06 01:12:31;Antibes;06 96 09 78 52;196;63;O-;225066000475058
